exp_id,company,start_year,years,role
105,Connaissance IT,2000,2005,computer programmer
106,NMIMS (SPP-SPTM),2004,2008,optician
107,Navayuga Consultancy Service,2000,2002,control room operator
108,valyoo technologies pvt ltd,2001,2004,product engineer
109,Vodafone India Services Pvt.Ltd,2002,2005,public health nurse
110,GOOUTSOURCE,2003,2006,divisional manager
111,Blue Star Infotech Ltd,2007,2010,sales professional
112,waytogo Consultants Pvt Ltd,2008,2010,analista de qualidade
113,Intellect IT Solutions Pvt. Ltd.,2003,2008,inside sales representative
114,ABACUS Consultants,2002,2005,food & beverage manager
115,Cozmo Travel Pvt Ltd,2001,2002,butiksbiträde
116,BirdRes Technologies Private Limited BirdRes Technologies Private Limited,2001,2003,hr supervisor
117,Madhees Techno Consulting Pvt. Ltd.,2000,2001,assistante de gestion
118,GAViSTA TECH,2004,2008,formatrice
119,Buyhatke,2000,2001,english language teacher
120,Harjai Computers Pvt Ltd,2000,2001,video producer
121,Evoke Technologies Pvt Ltd,2000,2002,intership
122,Taj Pharmaceuticals Ltd,2007,2010,independent consultant
123,Design Tech Systems Ltd,2002,2003,customer service consultant
124,Agility,2008,2013,job coach
125,Faststream Technologies,2002,2007,behavior specialist
126,Prasha Solutions Pvt. Lt.d.,2000,2001,marketing representative
127,Manoj Plastics Pvt Ltd,2002,2007,docente
128,Qulp,2000,2001,california
129,Sahara India Pariwar,2010,2015,infantryman
130,Sopra Steria India,2000,2005,purchasing manager
131,Filex Systems Pvt. Ltd.,2002,2004,assistant vice president
132,CBRE South Asia Pvt Ltd,2008,2010,cad operator
133,Pralax Enterprise,2002,2007,senior scientist
134,Salaam Bombay Foundation,2000,2002,store director
135,HR Global,2003,2005,pilates
136,Royal Sundaram Alliance Insurance Co Ltd,2006,2009,director of finance
137,JD Group Ltd,2002,2007,clinical psychologist
138,Sincerity Solutions,2005,2009,technical trainer
139,Brand Aid Pvt. Ltd.,2004,2009,medical records clerk
140,Deanta Publishing Services,2003,2005,porter
141,Manushhya HR services Pvt Ltd.,2003,2008,finance associate
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer
143,ExpoCon Media Pvt. Ltd.,2005,2007,massage therapist
144,Varutra Consulting Pvt. Ltd,2002,2007,fresher
145,Liventus Technology Services Pvt. Ltd.,2000,2004,lead software developer
146,Mawana Sugars Ltd,2002,2007,quality control
147,Oxyloans,2007,2010,head teacher
148,Azuga Telematics Private Limited,2000,2003,vice president sales
149,Renderindia Infotech,2001,2003,office supervisor
150,Tactica Business solutions,2004,2007,chief of police
151,Datamar Business Intelligence Pvt Ltd,2003,2005,financial services
152,Vuesol Software Solutions Pvt Ltd.,2002,2007,phlebotomist
153,Boston Scientific,2004,2009,ux/ui designer
154,RSB Systems,2003,2007,head of development
155,Fortune Executive Search,2007,2012,colombia
156,Shriram Land Development India Pvt. Ltd.,2002,2007,controller
157,SWOT Outsourcing Services Pvt Ltd,2008,2011,distributor
158,Meta I Technologies Pvt Ltd,2001,2002,owner/ president
159,Smart Enovations (India) Pvt Ltd,2000,2004,production controller
160,ELK Education Consultants Pvt Ltd,2010,2012,hôtesse
161,Arev Management Consultant,2003,2005,call
162,Bhattad group of company,2002,2003,student worker
163,W3 Infotek,2003,2006,ui/ux designer
164,Taazaa Tech Pvt. Ltd.,2002,2007,senior trainer
165,Cybernetyx India Support Center,2003,2006,architectural assistant
166,prolix,2008,2013,undergraduate student researcher
167,Creative Mediapulse Technologies Pvt. Ltd,2004,2005,empleada
168,Barry-Wehmiller,2002,2007,marketing and sales
169,SAKSOFT,2008,2012,call center
170,PTC Aviation Academy,2010,2020,content specialist
171,sumitkumar55456@gmail.com,2002,2003,underwriting manager
172,Credence Digital Marketing Pvt. Ltd.,2015,2018,sr network engineer
173,Golar Networks,2003,2008,it support engineer
174,base77,2003,2008,security analyst
175,Lumbini Elite Solutions Services Pvt Ltd,2006,2008,engineering project manager
176,KARLE INFRA PVT LTD,2003,2005,periodista
177,Rinalytics Advisors Pvt. Ltd,2006,2007,deli
178,Dell International Services India Private Limited,2002,2004,media director
179,Decora Systems,2002,2003,co owner
180,Carlson Pvt Ltd,2000,2001,attaché commercial
181,Xtemping,2002,2007,social media specialist
182,Holidays World India,2003,2008,arquitecta
183,ANRI Solutions,2003,2004,digital project manager
184,Sepia Advertising Pvt. Ltd,2004,2009,equipment operator
185,Â Techniche E-commerce Solutions Pvt Ltd,2002,2003,social media coordinator
186,DesiCrew Solutions Pvt.Ltd,2005,2010,news editor
187,Prione Business Services Private Limited,2004,2009,electrical foreman
188,Arcot Medical Placements,2000,2003,account officer
189,Mark IT Solutions Pvt. Ltd.,2015,2022,contributing writer
190,The Firm P,2001,2002,trainer
191,"Infofaces, Inc",2006,2011,gm
192,Gunaatita Technology Pvt. Ltd.,2006,2011,account management
193,Kodiak Networks India Pvt. Ltd.,2001,2004,producer/director
194,Raj Jewellers S.K Group,2010,2015,encarregado de
195,Mega Networks Pvt.Ltd.,2010,2018,administrative intern
196,Mehta Hospitals,2000,2005,instructional coach
197,Suventure,2002,2004,product line manager
198,ASAP Info Systems Pvt Ltd.,2003,2005,sócio
199,Manhattan Review India,2004,2007,audit intern
200,Aakash Institute,2005,2010,design assistant
201,Mysha Consultancy,2003,2005,policy advisor
202,Infobrain Technologies Pvt. Ltd.,2002,2007,labourer
203,Elmeasure India Pvt Ltd,2001,2006,religious leader
204,Cisco Systems (India) Private Limited,2002,2007,page
205,RBS India Development Centre (P) Ltd.,2001,2003,screenwriter
206,Leading client of HR Next,2002,2006,koordinator
207,SPARSH COMPUSOFT,2003,2008,structural designer
208,WebDev Inc.,2004,2009,assistant coordinator
209,The Phoenix Mills Ltd.,2004,2009,shift leader
210,SNORG Consultants Pvt. Ltd,2000,2003,investigador
211,S Chand and Company Ltd,2005,2010,virtual assistant
212,TESSOLVE SEMICONDUCTOR PVT. LTD.,2002,2007,lighting designer
213,Pioneer Design and Engineering Services,2008,2010,documentary
214,MIOT INTERNATIONAL,2004,2007,safety manager
215,Learnof.com,2005,2006,director of business development
216,Artefact Projects Ltd.,2003,2005,bénévole
217,GEPL CAPITAL PRIVATE LIMITED,2000,2002,assistante commerciale
218,Corascent,2001,2006,student attorney
219,Vikram Hospital,2002,2005,leasing agent
220,Ting Advertising,2003,2006,occupational therapist
221,Satyam-Venture Engineering Services Pvt. Ltd.,2002,2007,proprietor
222,SPS Intrad Pvt.Ltd,2004,2009,mother
223,Imprue Inc.,2004,2006,technology consultant
224,Lutech Resources India Pvt Ltd,2002,2007,técnico de informática
225,Hike - Startup,2004,2009,ski instructor
226,The Greater Bombay Co-operative Bank Ltd,2011,2015,store supervisor
227,eClerx Services Ltd.,2000,2005,floral designer
228,NexWave Talent Management Solutions Pvt Ltd,2002,2007,product development engineer
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin
230,Progression Infonet Pvt. Ltd.,2008,2013,junior account executive
231,client of a1 jobs,2003,2008,diretor administrativo
232,ISUZU ENGINEERING & BUSINESS CENTRE INDIA PVT LTD,2000,2005,business owner
233,Tregona IT Consulting Private Limited,2003,2005,chef de projets
234,Cybernician,2003,2008,director of accounting
235,Dimension India Networks (P) Ltd,2003,2005,e-commerce manager
236,Sunil Automotive Pvt Ltd,2010,2015,business intelligence analyst
237,Merit group,2002,2006,gerente de logística
238,Tachyon LED Solutions Pvt. Ltd.,2003,2005,sales and marketing representative
239,QAAgility Technologies,2005,2010,research intern
240,MOUNT TALENT CONSULTING,2004,2007,mathematics tutor
241,PMS Consulting,2007,2010,manufacturing technician
242,Overnite Express Ltd,2004,2009,funeral director
243,EMBARQ India,2003,2008,senior executive
244,SavannaHR,2005,2015,coordinador administrativo
245,Volvo India Private Limited,2002,2007,assembly line
246,Desiderate HR solutions,2000,2004,congressional intern
247,PENNYWISE SOLUTIONS PRIVATE LTD,2002,2007,rigger
248,Target,2002,2005,supplier quality engineer
249,CareerNet Technologies Pvt Ltd,2002,2004,painter
250,Four Fountains,2002,2005,sales & marketing director
251,Evoluzin Cloud storage solutions pvt ltd.,2002,2004,admin manager
252,STC Technologies,2000,2004,training specialist
253,Quad One Technologies Pvt Ltd,2001,2003,operations consultant
254,J connect Infotech,2002,2005,channel manager
255,Reliant HR Management Sevice Pvt Ltd,2003,2004,service tech
256,Nutri Synapzz therapeutix private limited,2009,2014,round
257,Suncore Microsystem,2001,2004,vice president marketing
258,Vettri Technologies,2005,2010,sygeplejerske
259,Minda Industries Ltd.,2001,2002,sr accountant
260,"Savancy, Inc.",2000,2003,verkäuferin
261,Cyient Limited,2002,2005,programme coordinator
262,Capgemini Technology Services India Limited,2001,2003,administradora
263,Zentora Overseas Careers Private Limited,2002,2003,associate
264,Dalmia Biz Private Ltd,2004,2006,senior technical consultant
265,MultiTech Software Systems India Private Limited,2004,2009,administrator staff
266,INFOCEPTS,2002,2005,computer
267,Mcdonalds,2002,2007,application support analyst
268,Viraj Group,2003,2008,production technician
269,NSN Biotech Pvt.Ltd.,2001,2002,senior technical specialist
270,InXero,2002,2005,director human resources
271,Hewlett Packard,2000,2003,inhaberin
272,Asian Paints Ltd.,2001,2004,chief executive officer (ceo)
273,Orysys Technologies,2001,2004,group fitness instructor
274,V3 Staffing Solutions India Pvt. Ltd,2000,2002,corporate sales
275,Apurupa Infrastructures Pvt Ltd,2004,2005,positions
276,Olive Hospitals Pvt. Ltd.,2004,2009,adjunct faculty
277,A well known reputed Real Estate Company,2001,2005,president/ceo
278,"Harmony LifeCare, Inc.",2005,2008,training supervisor
279,Blueberry Digital Labs Private Limited,2001,2006,senior business manager
280,Macula Healthcare Pvt. Ltd.,2001,2002,logistics officer
281,Nippon Seiyaku pvt ltd,2004,2009,logistic manager
282,BRAND MIDAS,2002,2004,orthodontist
283,INOX DECOR PVT. LTD.,2002,2005,regional sales representative
284,Clovia,2010,2012,surveyor
285,Tagline HR Consulting,2004,2007,personal banker
286,Coromandel Infotech India Ltd(IC Infotech),2006,2010,specjalista
287,MOFIRST SOLUTIONS PVT. LTD.,2010,2020,student
288,Talpro,2002,2004,helpdesk technician
289,ERM Placement Services (P) Ltd.,2003,2008,f&b manager
290,iMEDGlobal,2000,2002,procurement officer
291,Talenture Management Consulting,2000,2000,cliente
292,VFS Global Services Private Limited,2005,2010,human resources administrator
293,Byoke Overseas Pvt Ltd,2007,2012,healthcare assistant
294,Antares Systems Pvt Ltd,2004,2009,ekonomiassistent
295,Planet EDU,2001,2005,visiting scholar
296,AHEX TECHNOLOGIES,2002,2004,telemarketer
297,UCC TOURISM SERVICES,2007,2012,inside sales
298,sieco engineers pvt ltd,2002,2005,senior product manager
299,Ample Softwares Pvt Ltd,2000,2001,corretor de imóveis
300,Plash,2003,2004,control de calidad
301,TradeIndia.com,2004,2009,freelance artist
302,LOGOS CORPORATE SOLUTIONS,2008,2010,administração
303,New Era India Consultancy Pvt. Ltd.,2003,2007,factory manager
304,SHV Energy Private Limited,2003,2008,assistant buyer
305,Neovia Logistics Services India Pvt Ltd,2004,2007,labor
306,United Tour Club,2002,2004,account coordinator
307,OneCloud Consulting,2002,2007,clinical dietitian
308,JSports,2002,2005,skills
309,Zonac Knitting Machines Private Limited,2003,2006,vice president credit
310,Techs to Suit Inc,2000,2001,co-owner
311,Eros International Media Limited,2001,2004,music teacher
312,Cloud Nine Hospital,2006,2007,full stack developer
313,Bloom systems pvt lmtd,2007,2012,senior programmer analyst
314,Spectra ISP Networks Pvt. Ltd.,2002,2006,qualità
315,GrayMatrix,2005,2010,clinical assistant
316,Peritus Consulting,2002,2007,sole proprietor
317,6d Technologies,2003,2008,mechanical technician
318,GEMINI Software Solutions Pvt. Ltd,2004,2009,director of pharmacy
319,ARRIOO CONSULTANCY LTD,2004,2005,math teacher
320,Umana HR,2010,2020,mobile developer
321,Kanban infosystem private limited,2002,2007,workshops
322,AARDE TECHNOSOFT PRIVATE LIMITED,2003,2007,research executive
323,Wooplr,2003,2008,dueña
324,Insta Recruit,2005,2010,founder & director
325,IT Infocube IT Services Private Limited,2002,2007,vice president information technology
326,Directorate General of Civil Aviation,2002,2007,kitchen manager
327,B.L.INTERNATIONAL (P) LTD.,2003,2005,chief executive officer founder
328,Inventus Info Consulting Pvt Ltd.,2005,2010,junior executive
329,NephroPlus,2000,2001,video editor
330,Fabelizer Inc.,2002,2007,müdür
331,Net Employment Services Pvt Ltd.,2005,2008,representante de ventas
332,Zaak e-Ventures Private Limited.,2004,2006,software analyst
333,Glenmark Pharmaceuticals Ltd,2002,2005,interior designer
334,SMA e Experts Pvt Ltd,2002,2004,event staff
335,Delphi Automotive Systems Pvt Ltd,2009,2014,costume designer
336,Superprofs,2005,2010,quality control supervisor
337,Socialhire manpower services,2007,2009,diretor de arte
338,SAI Projects & Systems Private Limited,2002,2007,seguridad
339,CWS Technology (P) Ltd.,2002,2004,selbstständig
340,MNT HR Services,2008,2013,electronic technician
341,Ekam IT Solutions India Pvt Ltd,2004,2009,vp of sales
342,Â IP Core Solutions (India),2003,2006,assistant football coach
343,Ahsan Technologies Pvt Ltd,2002,2007,writer/editor
344,US based growing accounting services firm,2005,2008,administrative executive
345,Swathi Business Solutions,2005,2010,senior software developer
346,Scannhum Hr Solutions,2006,2009,national account
347,Veradis Consulting,2002,2003,marketing communications
348,Bobtech Solutions Private Limited,2005,2010,sr systems analyst
349,Avacend Solutions,2005,2006,information technology director
350,Idea Device Technologies,2002,2005,projektingenieur
351,ADROIT MANAGERS HR SOLUTIONS,2001,2006,housekeeper
352,Worlds Window Impex India Pvt. Ltd,2002,2005,advocaat
353,GS Consultants,2002,2004,customer engineer
354,Premium-Jobs,2001,2004,school psychologist
355,CoeurData,2001,2003,fotografa
356,SagiSol Technology Services Ltd,2001,2005,co founder
357,Catchpoint Systems,2004,2009,it developer
358,Sapphire International School,2005,2007,engineering director
359,ThatsPersonal,2004,2005,billing specialist
360,Thomas Assessments,2003,2008,architekt
361,SK VedaInfo Universal Technologies Pvt. Ltd.,2004,2009,structural design engineer
362,MITYUNG Infotech (P) Ltd,2002,2005,graduate engineering trainee
363,Above Solution India Pvt Ltd,2002,2005,lead consultant
364,S.K. Trade Link,2004,2009,gepensioneerd
365,SoftPath Biztek Solutions India Pvt.Ltd,2000,2005,vice president engineering
366,NMDC Limited,2002,2007,senior marketing executive
367,Mando Softtech India Pvt. Ltd.,2000,2002,hardware engineer
368,RAVENTURE SOLUTIONS,2002,2005,product marketing manager
369,RMC Readymix (India) (A Division of Prism Cement Limited),2003,2005,vestigingsmanager
370,Intecons Software Lab,2004,2009,service
371,Anvita Tours2Health Pvt Ltd,2001,2005,professional driver
372,Itemperance Consulting Pvt. Ltd.,2008,2012,argentina | perfil profesional
373,Covacsis Technologies Private Limited,2002,2003,legal adviser
374,Strata Infosys Inc,2012,2019,driller
375,Customer First Concepts Pvt Ltd,2003,2008,technico-commercial
376,SMART VENTURE MEDIA GROUP,2005,2008,operation executive
377,Eezfoil Private Limited,2010,2018,marine engineer
378,MILESTONE CONSULTING GROUP,2004,2005,production scheduler
379,"Megaware, Inc",2000,2004,director creativo
380,SENSIBOL AUDIO TECHNOLOGIES PVT. LTD.,2003,2006,assistente administrativo
381,IndusIdea Technologies,2002,2004,assistant marketing
382,Clarivate Analytics,2000,2001,trade marketing
383,Biophore India Pharmaceuticals Pvt. Ltd.,2004,2009,design consultant
384,Buzzyears Education Pvt Ltd,2002,2007,travel coordinator
385,Square yards,2000,2005,research scientist
386,HCMI Education,2006,2011,responsable informatique
387,DB REALTY LTD,2004,2009,retraité
388,ABW Group,2005,2008,purchasing officer
389,Best Applications (India) Pvt Ltd,2010,2015,assistant editor
390,CSG International,2002,2003,accounts
391,Triangle Global,2002,2005,secretaresse
392,Rinira Technologies Pvt. Ltd.,2005,2006,detective
393,Trisan Info Private Limited,2003,2008,gerente operacional
394,Neuland Laboratories Limited,2002,2007,state manager
395,Data Software Research Company Pvt. Ltd.,2003,2008,squad leader
396,Max Healthcare Institute Ltd,2000,2003,subsea
397,AlgoSquare Data Science Pvt Limited,2004,2009,planning manager
398,PureSoftware,2003,2008,event manager
399,SKP e-Solutions Pvt. Ltd.,2002,2003,comptroller
400,JGS Management Consultants,2012,2016,administrador de redes
401,IBM India Pvt. Limited,2001,2006,sales development manager
402,Infineon Technologies Pvt Ltd,2002,2004,executive offr
403,Stryde Consulting Services,2002,2007,graduate teaching assistant
404,Hajoori and Sons,2002,2005,computer tech
405,Value Max Advisors Consulting Pvt. Ltd,2000,2001,assistant marketing manager
406,Kogentix Technologies Private Limited,2002,2007,medical sales representative
407,Nextgen Clearing Pvt. Ltd.,2010,2020,asesora
408,Quality Care India Limited,2004,2005,development assistant
409,ASAP Info Systems Pvt Ltd,2001,2003,legal intern
410,Team Management Services,2009,2012,sales co-ordinator
411,CINDA Engineering & Construction Private Limited,2004,2006,lead technician
412,Span Design And Development Pvt. Ltd.,2002,2007,logistics assistant
413,Lokhandwala Infrastructure,2005,2010,sales leader
414,Geometric Limited,2005,2008,research analyst
415,Inventure Academy,2002,2007,administrator assist
416,Awapal Solutions Pvt. Ltd.,2009,2014,marketing internship
417,Saraca Solutions Pvt. Ltd,2004,2007,arquiteta
418,"Haptik, Inc.",2002,2005,chairman
419,Netpros LLC,2001,2004,petroleum engineer
420,Techflow Engineers (I) Pvt. Ltd.,2006,2011,first officer
421,All e technologies (P) Ltd.,2003,2006,senior tax consultant
422,a2HR Consultants Pvt Ltd,2010,2016,computer engineer
423,Quaero,2000,2003,family practitioner
424,PEOL Technologies,2003,2008,accounts manager
425,Netens Technologies,2001,2002,impiegato
426,YallaSpree- Startup,2000,2002,game designer
427,Shriram Value Services Private Limited,2001,2004,administrative assistant
428,KRUPA HI-TECH GLOBAL TECHNOLOGIES INDIA PRIVATE LIMITED,2010,2015,sócio diretor
429,Mobiveil Technologies India Private Limited,2002,2007,advogada
430,Arminus Software Pvt. Ltd,2003,2005,manager sales
431,Innovative It Solutions,2002,2007,salon manager
432,CoCubes.com,2001,2005,application manager
433,AtDrive Group,2002,2004,social work intern
434,Pentagon Consultancy Services,2000,2001,rechtsanwalt
435,Peerless Funds Management Co Limited,2002,2007,prokurist
436,Digit88 Games,2002,2004,senior accountant
437,Avantt Business Solutions,2006,2008,key-account-manager
438,Equifax Analytics,2005,2007,internship
439,Creamline Dairy Products Ltd.,2004,2008,diploma
440,Ellucian,2010,2011,docente universitario
441,COMPUTER POWER GROUP PRIVATE LIMITED,2006,2011,administrasi
442,iPredict,2002,2007,director of security
443,Multi Mantech International Pvt. Ltd.,2007,2012,research coordinator
444,PLEXITECH TECHNOLOGIES P LTD,2001,2002,program officer
445,SITARAM BHARTIA INSTITUTE OF SCIENCE & RESEARCH,2000,2002,nauczyciel
446,Mirafra Software Technologies Pvt.Ltd.,2010,2015,france | profil professionnel
447,United HR Solutions Pvt Ltd,2002,2004,transporter
448,Enigma Human Capital,2002,2004,sales engineer
449,Spurrin Innovation Pvt Ltd,2002,2007,pharmacien
450,Procon India Pvt. Ltd.,2004,2009,maintenance
451,Vasonomics,2004,2006,patient care technician
452,CREO,2005,2010,communication officer
453,Srijan Technologies Pvt. Ltd.,2003,2005,chief strategy officer
454,Delvetech Software Pvt. Ltd.,2001,2003,independent contractor
455,The Takshashila Institution.,2015,2025,sales associate cashier
456,Santosh University,2008,2010,admin officer
457,Ridings Consulting Engineers Private Limited,2008,2013,instrumentation technician
458,Asian Accent,2003,2007,insurance seller
459,Tejaswi Services Pvt Ltd,2005,2010,prof
460,Auxicon,2005,2010,director human resources
461,AaramShop Private Limited,2005,2010,sr manager
462,FINO PayTech Limited,2001,2006,communications associate
463,City Info Services Pvt. Ltd.,2004,2008,profesor de inglés
464,ECI Telecom India Pvt Ltd,2002,2005,secretary treasurer
465,Link Technologies Pvt. Ltd.,2003,2008,process manager
466,My Connecting,2004,2006,financial professional
467,Avantha Business Solutions Limited,2008,2010,boilermaker
468,ABROAD JOB VISA COMPANY,2006,2011,responsabile amministrativo
469,Inter Ocean Ship Repairs llc,2004,2007,architecte
470,Paperstalk,2006,2011,telecommunications specialist
471,Chkra Social Ventures,2008,2010,chiropractic assistant
472,Reputed Garment Manufacturer & Exporter,2002,2004,esl teacher
473,SRP GROUP OF COMPANIES,2006,2011,transportation specialist
474,CredenTek Software & Consultancy Pvt. Ltd.,2002,2007,jewelry designer
475,Smart enovations,2002,2007,executive recruiter
476,SAFEGUARD WORLD INTERNATIONAL,2010,2015,colaborador
477,Cyfuture India Pvt. Ltd.,2004,2006,international sales manager
478,Consult BI,2000,2005,manager operations
479,Rell Technology Solutions,2002,2006,probation officer
480,Visual Display Solutions Pvt. Ltd.,2005,2010,research
481,WebReinvent Technologies Pvt. Ltd.,2008,2012,social media strategist
482,Cigna TTK Health Insurance Company Limited,2001,2005,fashion stylist
483,Kay International Ltd.,2002,2007,senior merchandiser
484,SQUIRCLE IT CONSULTING SERVICES PVT LTD,2004,2009,lead business analyst
485,Shiva Global Environmental Pvt. Ltd,2015,2016,assistente comercial
486,Tulsidas Khimji Pvt. Ltd.,2003,2005,mühendis
487,Indihire Consultant,2003,2008,aircraft mechanic
488,Scroll.in,2002,2007,almacenista
489,M M Enterprises.,2002,2006,magazziniere
490,Juash Consulting Services,2003,2008,graphic design intern
491,SPAR KROGNOS,2003,2008,illustrator
492,Perfect Infotech,2006,2011,investment banking analyst
493,Directi,2003,2005,insegnante
494,Dmart,2000,2001,gérante
495,Webrich software,2000,2003,ejecutiva de cuentas
496,Rapidflow Apps Inc.,2005,2007,analista de suporte técnico
497,Lera Technologies Pvt.Ltd.,2002,2003,r&d manager
498,Autometers Alliance Ltd,2005,2010,business development consultant
499,ABLESOURCE CONSULTING,2002,2005,infirmière
500,GS1,2010,2015,software test engineer
501,Net2Source Inc.,2003,2007,helper
502,Intarvo Technologies Ltd,2001,2005,audio engineer
503,Airbus Engineering Centre India Pvt Ltd,2003,2008,stage ouvrier
504,Sepal Technologies Private Limited,2003,2006,crna
505,VJConsulting Services,2003,2008,kitchen designer
506,Radiant HR Services,2002,2003,certified medical assistant
