exp_id,company,year1,year2,role
123,Ample Technologies Pvt Ltd,5,10,lehrer
124,Phillips HVC consulting Pvt Ltd,1,3,branch head
125,RACHANA CHEMICALS PVT LTD,3,6,job coach
126,Infotech Global India Ltd.,0,3,preschool teacher
127,SoberScribeIndia (SSI),2,3,probation officer
128,Dreamzchaser,5,7,security officer
129,ICRI Research,5,10,book keeper
130,Midas Software,2,7,visiting assistant professor
131,Prism Manpower Services,5,10,choreographer
132,The HR Practice,3,8,koordinator
133,Alhamdulillah Interactive Software Solutions,2,4,pr manager
134,NSD Tech,2,5,model
135,Step Ahead,12,16,equity research analyst
136,ANS Affiliate Solutions (P) Ltd,5,10,postmaster
137,Featherlite.,5,8,consultor comercial
138,triptom.com,6,8,qc manager
139,HR Dawn,10,15,facilities coordinator
140,Netambit Infosource & eServices Pvt. Ltd.,0,2,media supervisor
141,Mafiree,4,6,substitute teacher
142,IDE Technologies,3,5,warehouse associate
143,ACKTRON SECURITY SYSTEM (P) LTD.,1,3,hr advisor
144,Raqmiyat,15,20,artisan
145,RUS EDUCATION INDIA PVT. LTD.,5,10,associate analyst
146,PwC Service Delivery Center (Bangalore) Pvt Ltd.,8,13,actor
147,HYPERCITY RETAIL (INDIA) LTD,3,8,projektleder
148,Corporate Connections,0,1,undergraduate research assistant
149,Hyundai AutoEver India Pvt. Ltd.,4,5,marketing executive
150,Mentor Graphics,0,1,liaison officer
151,Tantra Infosolutions Pvt. Ltd.,15,19,agent administratif
152,GreenTech Foundation,8,10,funcionario
153,Seven Seas Hospitality Pvt. Ltd.,4,7,manager operations
154,Green Gold Animation Pvt Ltd,1,6,retail sales representative
155,Prabhudas Lilladher Pvt Ltd,0,5,admin officer
156,Kavayah Solutions Inc,0,2,sales & marketing manager
157,Advanced Educare Training Private Limited,2,5,implementation specialist
158,SIMTECH,3,5,medical secretary
159,Mobisoft Technologies,2,7,contract analyst
160,Bnp Paribas,1,2,graduate student
161,TRAVNET Tourism Services Pvt. Ltd.,2,7,field representative
162,Sterling vehicle & general Sales Pvt ltd,3,5,compliance manager
163,Antrors HR Solutions,8,10,senior development engineer
164,LiteLabs,0,2,social media marketing manager
165,Global Institute of Intellectual Property,9,12,mechanical engineering intern
166,Amazon,0,1,account representative
167,Daedalus Consulting Private Limited,0,1,anesthesiologist
168,"Cadd Centre, Kharghar",5,8,national accounts manager
169,Keyideas Infotech Private Limited,5,10,chief architect
170,Inspire Innovatives,6,8,associate product manager
171,Search Light Consultants,1,5,admin
172,dnata International Pvt Limited,0,5,pharmaceutical sales representative
173,Aneja Associates,6,10,instructional coach
174,trendwiseanalytics,1,4,assistante rh
175,SBD (SRI BALAJI DURGA) HR SERVICES.,3,8,consultante
176,Concur Technologies (India) Pvt. Ltd.,3,6,assistante administrative
177,Position2,1,2,cuisinier
178,Professional Hunt,2,5,risk manager
179,SAFEGUARD WORLD INTERNATIONAL,9,14,support technician
180,Diksha Technologies,4,8,business system analyst
181,Dexterity Technologies,1,5,senior technical support engineer
182,Ray Business Technologies Pvt Ltd,2,7,food service manager
183,Spice Jet Limited,1,2,bakery clerk
184,cpc diagnostics pvt ltd,6,11,artesã
185,City Innovates Pvt Ltd.,2,4,clinic manager
186,Kool-ex Cold Chain Limited,4,7,trustee
187,Breakthrough Tv,7,12,it project manager
188,RAVSoft Solutions India Pvt Ltd,2,5,qa analyst
189,Elica PB India Private Limited,4,7,senior process engineer
190,WiFonic Technologies Pvt. Ltd.,5,10,associate designer
191,Overture Rede Private Limited.,3,8,business development associate
192,honeycomb creative support (P) ltd,2,4,responsable technique
193,SBICAP Securities Limited,2,7,distribution manager
194,Procon India Pvt. Ltd.,0,3,accounting assistant
195,Akhilesh Oil & Gas Services Private Limited,2,5,supply chain intern
196,GreeNxt Technology Solutions Private Limited,6,10,auxiliar de contabilidade
197,Syscom Softech Pvt. Ltd,2,6,vp
198,ASTER HR SOLUTIONS PVT LTD.,1,6,salesman
199,POPCORNAPPS SOFTWARE PVT LTD,0,5,aerospace engineer
200,COMMITTED LOGISTICS(INDIA) PVT. LTD.,4,6,member of the board
201,Neovia Logistics Services India Pvt Ltd,3,8,senior solutions architect
202,Conjugate,6,11,medical doctor
203,Mindworks Global Media Services,2,5,internal audit manager
204,Octaware Technologies,3,6,social media marketing intern
205,CIEL HR Services Pvt Ltd,5,10,tax senior
206,ESQ Management Solutions India Pvt Ltd,0,5,front end supervisor
207,TING,2,6,mining engineer
208,solus software and systems,8,10,validation engineer
209,Blueberry Labs Private Limited,2,7,qualità
210,Cigniti Technologies Limited,2,5,tour manager
211,Talent Acceleration Corridor,3,5,head of human resources
212,Talenture Management Consulting,11,15,manager
213,Talpro,10,15,marketing director
214,18th Technology,7,10,trainer
215,PIONEER CALLNET TRAINING and PLACEMENT,2,3,technical project manager
216,PromptCloud,1,6,telecommunications engineer
217,Prarzoo Pvt Ltd,8,12,management intern
218,Thirdeye Creations Pvt Ltd,10,15,doctoral candidate
219,Quintiles,2,7,aircraft technician
220,3Leads Resources India Pvt. Ltd.,2,4,electrician
221,Spa Geo Technologies Pvt. Ltd.,3,5,business systems analyst
222,Reed Elsevier India Pvt Ltd,5,8,qa engineer
223,Samsung India Electronics pvt Ltd,2,4,recruitment officer
224,Live connections,1,2,appraiser
225,SRV web solutions,1,5,senior assistant
226,iTech Ecommerce,0,4,school program
227,Odyssey,4,6,porteiro
228,YOUR LIFESTYLE PRIVATE LIMITED,2,5,beautician
229,Toolagen Technology Services Pvt Ltd,2,3,operations
230,Value Consulting,10,15,sprzedawca
231,SAP India Pvt.Ltd,4,6,freelance video editor
232,Target,2,4,loss prevention manager
233,Assist,10,20,chargé de communication
234,International Travel House Limited,4,9,empreendedor
235,Four Fountains De-Stress Spa,3,8,orientation leader
236,Avalet Technology,5,7,business partner
237,Mist Minds Technologies Pvt. Ltd.,0,4,director of public relations
238,SHIVAM AUTOZONE INDIA PVT LTD,0,5,everything
239,Zivame.Com,3,8,algemeen directeur
240,Safex Electromech Pvt. Ltd.,6,11,associate project manager
241,NetLeisure Internet Technologies Pvt Ltd (SchoolPage),0,2,client relations manager
242,Sopra Steria India,2,3,assistant to the director
243,Apollo life,12,17,information security analyst
244,Mando Softtech India Pvt. Ltd.,2,4,responsable d'agence
245,Sobha Developers Limited,12,16,encarregado de
246,Stylam Industries Limited,6,10,aluno
247,Avaap,1,6,customer service professional
248,"Soft Machines, Inc",6,11,licensed practical nurse
249,Advanced Hair Studio Pvt. Ltd.,0,1,legal assistant
250,Mobileum Inc,5,8,custodian
251,Ninjacart,0,5,customer advisor
252,Neerus.com,1,5,systems administrator
253,PRECISION GROUP,2,3,sale representative
254,V-Konnect Associates,1,4,sales and marketing director
255,: Irdeto Technology India Pvt. Limited,2,7,md
256,Iopex Technologies Private Limited,3,8,lineman
257,Opus Projects Limited,2,7,auxiliar administrativo
258,Letzcare Technologies,4,9,dosen
259,Floret Media Private Limited,3,4,conferente
260,Vedams Software Solutions India Pvt Ltd,2,5,employment consultant
261,Mirafra Software Technologies Pvt. Ltd,0,3,chargée de recrutement
262,Mindshare Recruitment Consultants Pvt. Ltd.,10,15,clinical coordinator
263,Viaweb Technologies Solutions LLP,10,15,quality engineer
264,Open-Silicon Research Pvt.Ltd,2,3,asistente de ventas
265,Labdhi Lifestyles Limited,2,4,past
266,EMEASUREMATICS,6,10,accountant
267,NASSCOM Foundation,7,12,cost analyst
268,I-Tech Media,8,13,senior it specialist
269,AID Systems (I) Pvt.Ltd,3,4,servidor publico
270,Antuit Inc.,5,7,ingénieur d'affaires
271,Pelf Infotech Private Limited,5,6,senior account manager
272,Opalina Technologies Private Limited,2,5,web designer
273,Mytrah Energy (India) Private Limited,5,10,marketing associate
274,Step Up Placements,1,5,house manager
275,Millennium Technosoft Ltd.,4,9,us army
276,LogixHealth Solutions Pvt. Ltd,5,6,branch sales manager
277,e-navik,0,3,autônomo
278,Avvas infotech,4,6,company commander
279,Aurigene Discovery Technologies Ltd,6,10,application specialist
280,Fractal Analytics Ltd,0,3,senior process executive
281,Smartdrive Systems India Pvt Ltd.,10,15,lab tech
282,GMO GlobalSign Certificate Services Pvt. Ltd.,3,5,projectmedewerker
283,HMS Host Services India Pvt Ltd,0,5,pilot
284,SIS Prosegur Holdings Private Limited,1,2,recruiting specialist
285,Iqrup Ritz,0,5,digital designer
286,POGEYAN TECHNOLOGIES PRIVATE LIMITED,2,4,computer technician
287,Transparent Value Pvt. Ltd.,0,0,reservation agent
288,Arion Systems private Limited,4,6,costureira
289,Belogic Systems (P) Limited,1,4,senior finance manager
290,Edgewater Global Services Pvt.Ltd,4,8,employed
291,MFX Services,5,10,communications
292,India Pistons Limited,3,8,financial manager
293,Educational Initiatives Private Limited,0,5,food and beverage assistant
294,AIRPOST INDIA,10,15,técnico
295,ubm india,0,5,técnico administrativo
296,BOX8,10,15,stylist
297,Consulting Engineers Group Ltd.,3,8,oracle database administrator
298,ABM ENERGO Engineers,3,5,director of education
299,Excellent management solutions,10,13,senior network administrator
300,ONS search.com.,1,6,head coach
301,Premium,2,7,module lead
302,Elite Elevators,3,6,statistician
303,Strides Arcolab Ltd.,2,5,supervisor de produção
304,Orobind,0,1,programme manager
305,Hyper Thread Solutions Pvt. Ltd.,0,5,hr director
306,Bal Pharma Limited,3,8,project management consultant
307,Trupti Placements,8,10,electrical foreman
308,Speed Jobs Consultancy,5,10,summer law clerk
309,S2 Infotech Pvt Ltd,1,6,operador
310,OpenLX Technologies Pvt. Ltd,1,5,operaciones
311,Smart Venture Media Group,0,1,pintor
312,Diverse Lynx India Pvt. Ltd,7,10,risk management
313,IMMIGRATION HELP,2,5,sgt
314,Pioneer Design and Engineering Services,0,5,audit intern
315,Zee Media Corporation Limited,0,5,clinical nurse
316,Purple Travels and Hospitality,5,10,customer support representative
317,PERK DATA SYSTEMS PVT LTD,5,10,safety manager
318,Spade Worx Pvt. Ltd.,4,9,store manager
319,houzify,4,9,service manager
320,Safexpress Pvt Ltd,3,5,welding inspector
321,Surpluss,5,10,member board of directors
322,i3 Software (P) ltd,0,5,special education paraprofessional
323,Lorven HR Solutions Private Limited,8,12,assistant researcher
324,Creamline Dairy Products Ltd.,3,7,analista administrativo
325,Orbitz Corporate and Leisure Travels (I) Pvt Ltd,8,10,cook
326,Datacloud Systems,10,15,operation manager
327,SourceFuse Technologies.,5,8,safety engineer
328,Adormi Technologies,4,9,financial controller
329,"Highlands Info Tech, Pvt. Ltd.",6,10,engenheira civil
330,FiniteHR Consulting Pvt Ltd,9,12,production specialist
331,Team Computers Pvt. Ltd.,6,11,surgical technologist
332,Elixir Cereals Pvt Ltd.,2,3,industrial trainee
333,Dongre Technoquip Pvt. Ltd.,8,10,senior business development manager
334,JAV Consultancy Services,2,7,radiation therapist
335,Dimensions Consulting Group,3,8,training supervisor
336,MyoHo Consulting Pro Private Ltd,2,4,database analyst
337,Selotsoft,8,12,delegate
338,Assure Consulting Services Pvt. Ltd.,2,7,photography
339,Quatrro Global Services Pvt. Ltd,2,4,memur
340,Tuple Technologies,0,2,senior key account manager
341,Attica Gold Company,3,6,gerente de vendas
342,CeX WeBuy Entertainment Pvt.Ltd,4,6,lieutenant
343,Bimal Auto Agency,2,7,hr recruiter
344,Copal Research India Private Limited (Copal Partners),10,15,restaurant manager
345,First Step Studio,2,4,communications consultant
346,AHEX TECHNOLOGIES,3,6,commis
347,KNOLDUS SOFTWARE LLP,3,8,chief of staff
348,Ing Vysya Bank Ltd.,4,7,operador de produção
349,Ravesoft Solutions Pvt. Ltd,15,20,technical sales
350,Booyah Chicago,1,2,digital account manager
351,Invide Labs,5,10,auxiliar financeiro
352,Kanban Infosystem Pvt. Ltd,5,10,administration manager
353,Ved Solution,2,6,general worker
354,Innominds Software (P) Limited,2,7,ceo/president
355,Midasis Technologies Pvt. Ltd.,1,2,director of hr
356,VMware India,2,3,six sigma
357,Dure technologies,3,6,customer service officer
358,Rapidsoft Technologies Pvt. Ltd.,2,4,communication
359,Re-route Dreams Consultancy LLP,5,8,conseiller ventes
360,Efextra,1,5,customer support
361,Misha Infotech Pvt Ltd,5,7,director de operaciones
362,McGraw-Hill Education,1,6,corretora
363,iloveindia,3,8,analista de suporte
364,Pegasystems Worldwide India Pvt. Ltd.,7,8,head of marketing
365,Condeco Software Ltd,5,10,automotive technician
366,The Vertical Recruiters,15,20,special education teacher
367,Allegis Services India Pvt. Ltd.,5,10,hr coordinator
368,Pulz,3,8,web developer
369,HR Anexi,2,7,senior surveyor
370,Perdure,3,4,assistente
371,Paramount Health Services(TPA) Pvt. Ltd.,6,9,operations executive
372,Meeting Minds,3,5,content specialist
373,Maintec Technologies,3,8,sachbearbeiterin
374,MapR,1,4,landscaper
375,Kaarya Consulting,2,5,platoon sergeant
376,PSI Private Limited,1,5,mortgage loan officer
377,Altimetrik,7,11,academic advisor
378,Scholastic Corporation,1,6,estilista
379,Digital Insight & Research Private Limited,1,2,physics teacher
380,Silvan Innovation Labs Pvt Ltd,5,10,research fellow
381,Pushpam Group,2,7,owner and president
382,Caper Travel Company Pvt Ltd.,0,0,audio visual technician
383,Solve Zone,2,4,veterinary assistant
384,SafeNode Graphics Private Limited,2,5,mba student
385,QuadLabs Technologies Private Limited,2,4,merchandising
386,AVTAR Career Creators,3,6,mühendis
387,EPICTENET PTY. LTD,1,6,executiva de contas
388,Addodoc,2,7,investment manager
389,Barbeque Nation Hospitality Ltd.,4,6,assistente comercial
390,Mark IT Solutions Pvt. Ltd.,0,3,programmer analyst trainee
391,Leadsquared,2,4,human resources director
392,KG Tiger,0,5,corporate sales executive
393,GrapeSoft,5,10,front office manager
394,Iris Software,1,3,security guard
395,Real Innerspring Technologies Pvt Ltd,3,8,supply chain coordinator
396,DaVita Care (India) Private Limited,5,8,demand planner
397,Arc Hirings,1,6,hr generalist
398,HCMI Education,6,11,web administrator
399,ZipGo,2,5,analista de qualidade
400,Quantum Design India Pvt. Ltd.,2,3,conseillère de vente
401,Workoid Consultants,0,2,information technology technician
402,Tech Plaastic Industrie Private Limited,2,7,crna
403,Pournavi Events Pvt. Ltd.,5,7,community outreach coordinator
404,Expeditious Staffing Services LLP,2,7,postdoctoral researcher
405,Burson-Marsteller,2,4,summer analyst
406,Focus Consultancy Services,3,8,insurance
407,Kyros Soft Tech Ltd,3,8,senior application developer
408,ICD Security Solutions,3,8,deputy clerk
409,Capgemini,10,16,chef de rang
410,Educomp Raffles Higher Education Ltd,4,9,assistant registrar
411,Clonect Solutions,0,5,assistant production manager
412,GIPS Management & Personnel Consultants,5,7,dance instructor
413,Highway Star,6,8,docente
414,Niojak Technologies Pvt. Ltd,0,1,registered respiratory therapist
415,AffiLeads.in,1,6,songwriter
416,NebuLogic Technologies,3,6,clinical pharmacist
417,Vishleshan Software Solutions Pvt. Ltd,5,8,it support analyst
418,Covalense Technologies Private Limited,5,10,regulatory affairs manager
419,Almoe digital Solutins Pvt Ltd,4,9,helpdesk technician
420,Decon Management Services Pvt. Ltd.,10,20,steward
421,OMLogic Consulting,3,8,devops engineer
422,Vanguard Human Resource Consultant Pvt Ltd,12,15,sales and marketing intern
423,Triangle Global,5,7,engineering project manager
424,Sonet Microsystems Pvt. Ltd.,2,3,repositor
425,NavSemi Technologies Pvt Ltd,2,4,ekonomiassistent
426,TEKsystems Global Services,5,7,dyrektor
427,SK Techconnect,4,5,freelance illustrator
428,Bombay Intelligence Security (India) Ltd,1,6,stock broker
429,LoudShout,6,11,greater boston area | professional profile
430,SMACera Technologies Consulting and Services Pvt L,3,5,meteorologist
431,Loginworks Softwares,3,5,media director
432,Baysquare Technologies,3,5,cfo
433,Probiz Technologies,0,5,operation director
434,AUR consultant,2,3,group financial controller
435,Fast Forward Logistics India Pvt.Ltd,3,5,purchasing agent
436,MTR Foods Pvt Ltd,3,6,chef de secteur
437,CAST Software India Pvt Ltd,3,7,director of nursing
438,expertiz,3,5,test engineer
439,Chadha & Chadha,2,7,content manager
440,Analytique Consulting,1,6,vp sales
441,Scienaptic Systems Pvt Ltd,4,8,vice president marketing
442,Osair Software Technologies Pvt. Ltd.,2,5,psicólogo clínico
443,Cema Electricals,3,8,quality assurance coordinator
444,Pidilite Industries Ltd,2,7,programmer
445,SURYA SOFTWARE SYSTEMS PVT.LTD,8,13,documentary
446,Savy Hr Management,5,10,public relations assistant
447,Reputed Company in Delhi,2,7,full
448,Jobnath,2,5,business development officer
449,Jupiter Lifeline Hospitals Ltd,1,4,telecommunications specialist
450,INTELIZIGN,8,9,functional analyst
451,Solomo Media Pvt. Ltd.,0,2,customer consultant
452,Max Neeman International,10,14,inventory analyst
453,RPRH pvt ltd,2,3,marketing supervisor
454,Vamsoft Technology & Consultancy Pvt. Ltd,6,8,branch administrator
455,Srini Infotech Pvt Ltd,3,8,representante de ventas
456,Value Search,1,2,junior manager
457,SNORG Consultants Pvt. Ltd,2,6,recruitment assistant
458,ARCHELONS Consulting Pvt. Ltd.,7,10,collections manager
459,V2b,4,8,draughtsman
460,Blossom Kochhar Beauty Products (P) Ltd,5,10,promotor
461,Stag Solutions,8,13,directeur général
462,Reputed Garment Industry,1,6,niederlassungsleiter
463,Infibeam.com,5,10,implementation manager
464,Patel Integrated Logistics Ltd. (PILL),1,3,recruitment specialist
465,zNoow Technologies Pvt. Ltd,16,18,human resources exec
466,Indus Business Systems Ltd,13,23,dottore commercialista
467,HR SOLUTIONS,5,6,jefe de mantenimiento
468,Dr Lal PathLabs (Pvt) Ltd,0,2,sr associate
469,Mindpool Technologies Pvt Ltd.,5,8,financial analyst
470,MedHimalayas,3,4,fourth grade teacher
471,India Skills Pvt Ltd,5,8,supply chain manager
472,Aegis Limited,3,7,supervisor de operações
473,SRM Hotels,3,6,payroll administrator
474,Brightpod,3,8,sales and marketing assistant
475,Cvent India Pvt. Ltd.,3,6,vice president digital
476,Career Define,2,5,retraite
477,Action For India,0,2,assistant coach
478,Focus Softnet Pvt. Ltd.,6,9,conference coordinator
479,Saaki Argus And Averil Consulting,3,5,praktykant
480,Solvix Focus India Pvt.Ltd,2,5,san francisco bay area | professional profile
481,SYS SOFTECH,0,3,graduate trainee
482,fashion design council of india,2,4,quality coordinator
483,PCRM,5,10,responsable ressources humaines
484,Nivaata Systems Pvt. Ltd,3,8,analista de ti
485,"Citi PropMart Pvt. Ltd. (Sec-67 , A-47)",2,5,production planner
486,Quantspire,10,16,nan
487,MTree Software Private Limited,2,5,arquitecto
488,quest venture coordinators pvt. ltd.,4,6,deputy editor
489,Bloody Good Book,2,3,professional engineer
490,Valdel Engineers & Constructors Pvt Ltd,2,4,assistent
491,Moldtek Technologies Limited,2,7,sales & marketing director
492,Pratham Vision Private Limited,12,15,sap business
493,Remaxys Infotech Pvt. Ltd.,15,20,travel manager
494,Landsky Engineers Pvt. Ltd.,3,5,data analyst
495,Relyon Softech Ltd,5,8,locutor
496,Zebronics,2,5,aux adm
497,Sodexo Food Solutions India Pvt. Ltd.ces,2,5,caixa
498,FocusmindsTech,1,5,administrativo contable
499,Netzland Telecom India Pvt. Ltd,9,14,judicial extern
500,MyResearch Labs LLP,2,7,senior java developer
501,Infodart Technologies India Ltd,1,2,director of it
502,CSG International,3,8,empresário
503,Prime Infoserv LLP,10,15,advogado
504,Prasha Consultancy Services Pvt Ltd,3,6,teaching
505,Menschen Consulting Pvt Ltd,1,3,special projects manager
506,OnlineRTI,2,5,licensed clinical social worker
507,Kripya Engineering Private Limited,3,5,environmental consultant
508,Apollo Sugar Clinics Limited,3,8,senior travel consultant
509,Prudent Corporate Advisory Services Ltd,2,7,compliance
510,Vinitec HR Consultants,3,8,process technician
511,IndusIdea Technologies,4,9,product consultant
512,Quaere e-Technologies Pvt. Ltd,8,12,service desk analyst
513,Outsource Ace IT & ITES Solutions Pvt Ltd.,4,6,trainee engineer
514,ValeurHR E-Solutions Pvt. Ltd.,0,5,coordenador de projetos
515,Altura Consulting (P) Ltd,3,5,full stack developer
516,NAK Engineering Pvt. Ltd,3,5,dono
517,Realtime Register India Pvt Ltd,1,3,conseiller clientèle
518,Enterprise IT Solutions,7,9,mechanical fitter
519,Coromandel Agrico Pvt Ltd,1,6,consultant
520,AIETS,0,1,housekeeper
521,Phase 1 Events and Entertainments Pvt. Ltd.,4,6,fonctionnaire
522,Intellectual Capital HR Consulting Pvt Ltd,3,5,information technology consultant
523,StateStreet Global Advisor Pvt Ltd,0,1,engineer ii
524,Zaakpay,3,8,revenue manager
525,staffio HR,6,11,bus driver
526,Airbus Engineering Centre India Pvt Ltd,7,10,lab technician
527,Provizor IT Services Pvt Ltd,5,10,apprentice electrician
528,Chevrolet,7,10,analyst
529,webfries,10,18,gis technician
530,Net Connect Pvt Ltd,7,10,aide
531,Resultrix,0,4,research coordinator
532,Swiggy,10,20,infantryman
533,CONTACTX RESOURCE MANAGEMENT PVT. LTD,2,7,admissions counselor
534,Janya IT Technologies Pvt Ltd,5,10,accountant assistant
535,Sagisol Technogy Services Ltd,5,9,deli clerk
536,"Samrudhi Shipping Management101, 1st Floor Bazargate Perin nariman street",0,0,assistant account executive
537,Raj Jewellers S.K Group,6,11,catering manager
538,Noesys Consulting Ltd,2,5,clinical research coordinator
539,Crystal Hues Limited,5,10,dhs human services
540,Fashion Design Council of India,7,12,gestor
541,Sur Iron and Steel Company Private Limited,0,4,coordenador de
542,IDS TECHNOLOGIES INDIA PRIVATE LIMITED,3,8,program assistant
543,T & A Solutions,3,6,mediator
544,Keiretsu Consultancy Services,4,7,test lead
545,Agile Security Force Systems Pvt Ltd,5,10,radiographer
546,MOFIRST SOLUTIONS PVT. LTD.,2,7,assistant property manager
547,New Meena Bazar International Pvt. Ltd.,3,5,product design engineer
