exp_id,company,start_year,years,role,user_id
109,Vodafone India Services Pvt.Ltd,2002,2005,public health nurse,330
109,Vodafone India Services Pvt.Ltd,2002,2005,public health nurse,585
109,Vodafone India Services Pvt.Ltd,2002,2005,public health nurse,638
110,GOOUTSOURCE,2003,2006,divisional manager,635
110,GOOUTSOURCE,2003,2006,divisional manager,693
110,GOOUTSOURCE,2003,2006,divisional manager,904
110,GOOUTSOURCE,2003,2006,divisional manager,974
111,Blue Star Infotech Ltd,2007,2010,sales professional,47
111,Blue Star Infotech Ltd,2007,2010,sales professional,55
111,Blue Star Infotech Ltd,2007,2010,sales professional,272
111,Blue Star Infotech Ltd,2007,2010,sales professional,1623
112,waytogo Consultants Pvt Ltd,2008,2010,analista de qualidade,708
113,Intellect IT Solutions Pvt. Ltd.,2003,2008,inside sales representative,34
113,Intellect IT Solutions Pvt. Ltd.,2003,2008,inside sales representative,382
114,ABACUS Consultants,2002,2005,food & beverage manager,1222
114,ABACUS Consultants,2002,2005,food & beverage manager,1586
116,BirdRes Technologies Private Limited BirdRes Technologies Private Limited,2001,2003,hr supervisor,483
116,BirdRes Technologies Private Limited BirdRes Technologies Private Limited,2001,2003,hr supervisor,1253
117,Madhees Techno Consulting Pvt. Ltd.,2000,2001,assistante de gestion,33
117,Madhees Techno Consulting Pvt. Ltd.,2000,2001,assistante de gestion,33
118,GAViSTA TECH,2004,2008,formatrice,697
118,GAViSTA TECH,2004,2008,formatrice,878
118,GAViSTA TECH,2004,2008,formatrice,1007
118,GAViSTA TECH,2004,2008,formatrice,1742
118,GAViSTA TECH,2004,2008,formatrice,1859
118,GAViSTA TECH,2004,2008,formatrice,1954
119,Buyhatke,2000,2001,english language teacher,504
119,Buyhatke,2000,2001,english language teacher,758
119,Buyhatke,2000,2001,english language teacher,835
120,Harjai Computers Pvt Ltd,2000,2001,video producer,283
120,Harjai Computers Pvt Ltd,2000,2001,video producer,1158
120,Harjai Computers Pvt Ltd,2000,2001,video producer,1471
120,Harjai Computers Pvt Ltd,2000,2001,video producer,1990
121,Evoke Technologies Pvt Ltd,2000,2002,intership,329
121,Evoke Technologies Pvt Ltd,2000,2002,intership,524
121,Evoke Technologies Pvt Ltd,2000,2002,intership,1031
121,Evoke Technologies Pvt Ltd,2000,2002,intership,1064
121,Evoke Technologies Pvt Ltd,2000,2002,intership,1286
121,Evoke Technologies Pvt Ltd,2000,2002,intership,1845
122,Taj Pharmaceuticals Ltd,2007,2010,independent consultant,920
122,Taj Pharmaceuticals Ltd,2007,2010,independent consultant,1120
123,Design Tech Systems Ltd,2002,2003,customer service consultant,802
123,Design Tech Systems Ltd,2002,2003,customer service consultant,823
125,Faststream Technologies,2002,2007,behavior specialist,1118
126,Prasha Solutions Pvt. Lt.d.,2000,2001,marketing representative,521
126,Prasha Solutions Pvt. Lt.d.,2000,2001,marketing representative,944
126,Prasha Solutions Pvt. Lt.d.,2000,2001,marketing representative,1238
127,Manoj Plastics Pvt Ltd,2002,2007,docente,640
127,Manoj Plastics Pvt Ltd,2002,2007,docente,822
127,Manoj Plastics Pvt Ltd,2002,2007,docente,1461
127,Manoj Plastics Pvt Ltd,2002,2007,docente,1781
128,Qulp,2000,2001,california,1707
128,Qulp,2000,2001,california,1943
129,Sahara India Pariwar,2010,2015,infantryman,1493
129,Sahara India Pariwar,2010,2015,infantryman,1546
130,Sopra Steria India,2000,2005,purchasing manager,1686
131,Filex Systems Pvt. Ltd.,2002,2004,assistant vice president,1379
132,CBRE South Asia Pvt Ltd,2008,2010,cad operator,63
132,CBRE South Asia Pvt Ltd,2008,2010,cad operator,1522
132,CBRE South Asia Pvt Ltd,2008,2010,cad operator,1603
133,Pralax Enterprise,2002,2007,senior scientist,409
133,Pralax Enterprise,2002,2007,senior scientist,1615
134,Salaam Bombay Foundation,2000,2002,store director,1300
135,HR Global,2003,2005,pilates,826
135,HR Global,2003,2005,pilates,1117
135,HR Global,2003,2005,pilates,1698
135,HR Global,2003,2005,pilates,1789
136,Royal Sundaram Alliance Insurance Co Ltd,2006,2009,director of finance,318
137,JD Group Ltd,2002,2007,clinical psychologist,1189
137,JD Group Ltd,2002,2007,clinical psychologist,1376
139,Brand Aid Pvt. Ltd.,2004,2009,medical records clerk,1376
140,Deanta Publishing Services,2003,2005,porter,1065
140,Deanta Publishing Services,2003,2005,porter,1643
140,Deanta Publishing Services,2003,2005,porter,1731
141,Manushhya HR services Pvt Ltd.,2003,2008,finance associate,173
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,197
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,812
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,912
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,1277
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,1885
142,Temple Packaging Pvt Ltd,2006,2011,qc engineer,1909
143,ExpoCon Media Pvt. Ltd.,2005,2007,massage therapist,659
143,ExpoCon Media Pvt. Ltd.,2005,2007,massage therapist,1935
145,Liventus Technology Services Pvt. Ltd.,2000,2004,lead software developer,467
145,Liventus Technology Services Pvt. Ltd.,2000,2004,lead software developer,624
146,Mawana Sugars Ltd,2002,2007,quality control,167
146,Mawana Sugars Ltd,2002,2007,quality control,1412
147,Oxyloans,2007,2010,head teacher,1248
149,Renderindia Infotech,2001,2003,office supervisor,539
150,Tactica Business solutions,2004,2007,chief of police,671
150,Tactica Business solutions,2004,2007,chief of police,1173
152,Vuesol Software Solutions Pvt Ltd.,2002,2007,phlebotomist,2
152,Vuesol Software Solutions Pvt Ltd.,2002,2007,phlebotomist,442
152,Vuesol Software Solutions Pvt Ltd.,2002,2007,phlebotomist,1580
153,Boston Scientific,2004,2009,ux/ui designer,615
153,Boston Scientific,2004,2009,ux/ui designer,662
153,Boston Scientific,2004,2009,ux/ui designer,1370
153,Boston Scientific,2004,2009,ux/ui designer,1680
153,Boston Scientific,2004,2009,ux/ui designer,1895
154,RSB Systems,2003,2007,head of development,1467
154,RSB Systems,2003,2007,head of development,1536
155,Fortune Executive Search,2007,2012,colombia,546
155,Fortune Executive Search,2007,2012,colombia,977
155,Fortune Executive Search,2007,2012,colombia,1145
155,Fortune Executive Search,2007,2012,colombia,1330
155,Fortune Executive Search,2007,2012,colombia,1668
155,Fortune Executive Search,2007,2012,colombia,1967
156,Shriram Land Development India Pvt. Ltd.,2002,2007,controller,455
156,Shriram Land Development India Pvt. Ltd.,2002,2007,controller,1319
156,Shriram Land Development India Pvt. Ltd.,2002,2007,controller,1801
159,Smart Enovations (India) Pvt Ltd,2000,2004,production controller,932
159,Smart Enovations (India) Pvt Ltd,2000,2004,production controller,1119
159,Smart Enovations (India) Pvt Ltd,2000,2004,production controller,1137
159,Smart Enovations (India) Pvt Ltd,2000,2004,production controller,1371
160,ELK Education Consultants Pvt Ltd,2010,2012,hôtesse,1008
160,ELK Education Consultants Pvt Ltd,2010,2012,hôtesse,1331
161,Arev Management Consultant,2003,2005,call,1288
161,Arev Management Consultant,2003,2005,call,1305
162,Bhattad group of company,2002,2003,student worker,347
162,Bhattad group of company,2002,2003,student worker,779
162,Bhattad group of company,2002,2003,student worker,1302
164,Taazaa Tech Pvt. Ltd.,2002,2007,senior trainer,371
165,Cybernetyx India Support Center,2003,2006,architectural assistant,758
165,Cybernetyx India Support Center,2003,2006,architectural assistant,1869
166,prolix,2008,2013,undergraduate student researcher,1563
167,Creative Mediapulse Technologies Pvt. Ltd,2004,2005,empleada,540
167,Creative Mediapulse Technologies Pvt. Ltd,2004,2005,empleada,1654
169,SAKSOFT,2008,2012,call center,1050
170,PTC Aviation Academy,2010,2020,content specialist,123
170,PTC Aviation Academy,2010,2020,content specialist,228
170,PTC Aviation Academy,2010,2020,content specialist,562
170,PTC Aviation Academy,2010,2020,content specialist,1488
173,Golar Networks,2003,2008,it support engineer,125
173,Golar Networks,2003,2008,it support engineer,1468
173,Golar Networks,2003,2008,it support engineer,1972
175,Lumbini Elite Solutions Services Pvt Ltd,2006,2008,engineering project manager,720
176,KARLE INFRA PVT LTD,2003,2005,periodista,414
177,Rinalytics Advisors Pvt. Ltd,2006,2007,deli,16
177,Rinalytics Advisors Pvt. Ltd,2006,2007,deli,90
177,Rinalytics Advisors Pvt. Ltd,2006,2007,deli,419
177,Rinalytics Advisors Pvt. Ltd,2006,2007,deli,911
178,Dell International Services India Private Limited,2002,2004,media director,972
178,Dell International Services India Private Limited,2002,2004,media director,1029
179,Decora Systems,2002,2003,co owner,353
181,Xtemping,2002,2007,social media specialist,850
181,Xtemping,2002,2007,social media specialist,1784
182,Holidays World India,2003,2008,arquitecta,401
182,Holidays World India,2003,2008,arquitecta,1917
183,ANRI Solutions,2003,2004,digital project manager,768
183,ANRI Solutions,2003,2004,digital project manager,1785
184,Sepia Advertising Pvt. Ltd,2004,2009,equipment operator,519
184,Sepia Advertising Pvt. Ltd,2004,2009,equipment operator,1127
184,Sepia Advertising Pvt. Ltd,2004,2009,equipment operator,1793
185,Â Techniche E-commerce Solutions Pvt Ltd,2002,2003,social media coordinator,247
186,DesiCrew Solutions Pvt.Ltd,2005,2010,news editor,1130
187,Prione Business Services Private Limited,2004,2009,electrical foreman,426
187,Prione Business Services Private Limited,2004,2009,electrical foreman,426
187,Prione Business Services Private Limited,2004,2009,electrical foreman,677
188,Arcot Medical Placements,2000,2003,account officer,57
188,Arcot Medical Placements,2000,2003,account officer,1181
189,Mark IT Solutions Pvt. Ltd.,2015,2022,contributing writer,13
189,Mark IT Solutions Pvt. Ltd.,2015,2022,contributing writer,1033
189,Mark IT Solutions Pvt. Ltd.,2015,2022,contributing writer,1253
189,Mark IT Solutions Pvt. Ltd.,2015,2022,contributing writer,1944
191,"Infofaces, Inc",2006,2011,gm,938
192,Gunaatita Technology Pvt. Ltd.,2006,2011,account management,256
192,Gunaatita Technology Pvt. Ltd.,2006,2011,account management,754
193,Kodiak Networks India Pvt. Ltd.,2001,2004,producer/director,630
193,Kodiak Networks India Pvt. Ltd.,2001,2004,producer/director,1025
193,Kodiak Networks India Pvt. Ltd.,2001,2004,producer/director,1028
194,Raj Jewellers S.K Group,2010,2015,encarregado de,986
194,Raj Jewellers S.K Group,2010,2015,encarregado de,1837
195,Mega Networks Pvt.Ltd.,2010,2018,administrative intern,574
195,Mega Networks Pvt.Ltd.,2010,2018,administrative intern,1129
196,Mehta Hospitals,2000,2005,instructional coach,842
196,Mehta Hospitals,2000,2005,instructional coach,1147
196,Mehta Hospitals,2000,2005,instructional coach,1763
197,Suventure,2002,2004,product line manager,707
197,Suventure,2002,2004,product line manager,1319
197,Suventure,2002,2004,product line manager,1886
198,ASAP Info Systems Pvt Ltd.,2003,2005,sócio,1282
198,ASAP Info Systems Pvt Ltd.,2003,2005,sócio,1957
199,Manhattan Review India,2004,2007,audit intern,515
199,Manhattan Review India,2004,2007,audit intern,728
199,Manhattan Review India,2004,2007,audit intern,1267
199,Manhattan Review India,2004,2007,audit intern,1449
199,Manhattan Review India,2004,2007,audit intern,1777
201,Mysha Consultancy,2003,2005,policy advisor,584
202,Infobrain Technologies Pvt. Ltd.,2002,2007,labourer,996
202,Infobrain Technologies Pvt. Ltd.,2002,2007,labourer,1270
202,Infobrain Technologies Pvt. Ltd.,2002,2007,labourer,1648
203,Elmeasure India Pvt Ltd,2001,2006,religious leader,881
203,Elmeasure India Pvt Ltd,2001,2006,religious leader,1337
204,Cisco Systems (India) Private Limited,2002,2007,page,516
204,Cisco Systems (India) Private Limited,2002,2007,page,1280
204,Cisco Systems (India) Private Limited,2002,2007,page,1481
206,Leading client of HR Next,2002,2006,koordinator,500
206,Leading client of HR Next,2002,2006,koordinator,1322
206,Leading client of HR Next,2002,2006,koordinator,1759
207,SPARSH COMPUSOFT,2003,2008,structural designer,1087
207,SPARSH COMPUSOFT,2003,2008,structural designer,1550
208,WebDev Inc.,2004,2009,assistant coordinator,560
208,WebDev Inc.,2004,2009,assistant coordinator,1754
209,The Phoenix Mills Ltd.,2004,2009,shift leader,225
209,The Phoenix Mills Ltd.,2004,2009,shift leader,1464
210,SNORG Consultants Pvt. Ltd,2000,2003,investigador,634
210,SNORG Consultants Pvt. Ltd,2000,2003,investigador,1733
211,S Chand and Company Ltd,2005,2010,virtual assistant,885
211,S Chand and Company Ltd,2005,2010,virtual assistant,1951
214,MIOT INTERNATIONAL,2004,2007,safety manager,699
215,Learnof.com,2005,2006,director of business development,1392
216,Artefact Projects Ltd.,2003,2005,bénévole,1157
218,Corascent,2001,2006,student attorney,82
218,Corascent,2001,2006,student attorney,839
220,Ting Advertising,2003,2006,occupational therapist,733
220,Ting Advertising,2003,2006,occupational therapist,1832
221,Satyam-Venture Engineering Services Pvt. Ltd.,2002,2007,proprietor,18
221,Satyam-Venture Engineering Services Pvt. Ltd.,2002,2007,proprietor,238
221,Satyam-Venture Engineering Services Pvt. Ltd.,2002,2007,proprietor,472
222,SPS Intrad Pvt.Ltd,2004,2009,mother,1814
224,Lutech Resources India Pvt Ltd,2002,2007,técnico de informática,388
224,Lutech Resources India Pvt Ltd,2002,2007,técnico de informática,1918
225,Hike - Startup,2004,2009,ski instructor,96
226,The Greater Bombay Co-operative Bank Ltd,2011,2015,store supervisor,1085
227,eClerx Services Ltd.,2000,2005,floral designer,507
228,NexWave Talent Management Solutions Pvt Ltd,2002,2007,product development engineer,657
228,NexWave Talent Management Solutions Pvt Ltd,2002,2007,product development engineer,1658
228,NexWave Talent Management Solutions Pvt Ltd,2002,2007,product development engineer,1906
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,53
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,735
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,874
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,1534
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,1629
229,Php Expert Group Pvt. Ltd.,2010,2011,responsable de magasin,1926
230,Progression Infonet Pvt. Ltd.,2008,2013,junior account executive,118
230,Progression Infonet Pvt. Ltd.,2008,2013,junior account executive,359
230,Progression Infonet Pvt. Ltd.,2008,2013,junior account executive,696
231,client of a1 jobs,2003,2008,diretor administrativo,726
231,client of a1 jobs,2003,2008,diretor administrativo,776
231,client of a1 jobs,2003,2008,diretor administrativo,1143
231,client of a1 jobs,2003,2008,diretor administrativo,1441
231,client of a1 jobs,2003,2008,diretor administrativo,1909
232,ISUZU ENGINEERING & BUSINESS CENTRE INDIA PVT LTD,2000,2005,business owner,526
232,ISUZU ENGINEERING & BUSINESS CENTRE INDIA PVT LTD,2000,2005,business owner,1230
232,ISUZU ENGINEERING & BUSINESS CENTRE INDIA PVT LTD,2000,2005,business owner,1872
232,ISUZU ENGINEERING & BUSINESS CENTRE INDIA PVT LTD,2000,2005,business owner,1963
234,Cybernician,2003,2008,director of accounting,300
234,Cybernician,2003,2008,director of accounting,588
235,Dimension India Networks (P) Ltd,2003,2005,e-commerce manager,423
235,Dimension India Networks (P) Ltd,2003,2005,e-commerce manager,822
236,Sunil Automotive Pvt Ltd,2010,2015,business intelligence analyst,514
237,Merit group,2002,2006,gerente de logística,332
237,Merit group,2002,2006,gerente de logística,346
237,Merit group,2002,2006,gerente de logística,551
237,Merit group,2002,2006,gerente de logística,890
237,Merit group,2002,2006,gerente de logística,898
237,Merit group,2002,2006,gerente de logística,1191
