company_id,company_name,location,department,about_us,rating,awards,contact,email,website
23,Global Connections,"Chennai, Mumbai, Bengaluru, Pune, Hyderabad, Canada, Australia",BPO / Call Centre / ITES,we are Global Connections,2,Best Company in field of BPO / Call Centre / ITES,9464966957,GlobalConnections23@gmail.com,GlobalConnections.com
24,Biocon Limited,Bengaluru,Pharma / Biotech / Clinical Research,we are Biocon Limited,2,Best Company in field of Pharma / Biotech / Clinical Research,1644072078,BioconLimited24@gmail.com,BioconLimited.com
25,eGov Tech Labs,Bengaluru,IT-Software / Software Services,we are eGov Tech Labs,2,Best Company in field of IT-Software / Software Services,6321931382,eGovTechLabs25@gmail.com,eGovTechLabs.com
26,SLK Software Services Pvt. Ltd.,Bengaluru,IT-Software / Software Services,we are SLK Software Services Pvt. Ltd.,5,Best Company in field of IT-Software / Software Services,5108484484,SLKSoftwareServicesPvt.Ltd.26@gmail.com,SLKSoftwareServicesPvt.Ltd..com
27,Inspiration Manpower Consultancy Pvt. Ltd.,"Bengaluru, Chennai",BPO / Call Centre / ITES,we are Inspiration Manpower Consultancy Pvt. Ltd.,4,Best Company in field of BPO / Call Centre / ITES,6705224495,InspirationManpowerConsultancyPvt.Ltd.27@gmail.com,InspirationManpowerConsultancyPvt.Ltd..com
28,Confidential,"Delhi NCR, Bengaluru",IT-Software / Software Services,we are Confidential,1,Best Company in field of IT-Software / Software Services,9542413762,Confidential28@gmail.com,Confidential.com
29,IFB Support Services Pvt. Ltd.,Bengaluru,IT-Software / Software Services,we are IFB Support Services Pvt. Ltd.,1,Best Company in field of IT-Software / Software Services,2121520806,IFBSupportServicesPvt.Ltd.29@gmail.com,IFBSupportServicesPvt.Ltd..com
30,EY,"Bengaluru, Gurgaon",IT-Software / Software Services,we are EY,1,Best Company in field of IT-Software / Software Services,5736280154,EY30@gmail.com,EY.com
31,StateStreet Global Advisor Pvt Ltd,Bengaluru,Banking / Financial Services / Broking,we are StateStreet Global Advisor Pvt Ltd,2,Best Company in field of Banking / Financial Services / Broking,4008957229,StateStreetGlobalAdvisorPvtLtd31@gmail.com,StateStreetGlobalAdvisorPvtLtd.com
32,Greenage Griha Nirmaan Pvt Ltd.,Bengaluru,Real Estate / Property,we are Greenage Griha Nirmaan Pvt Ltd.,1,Best Company in field of Real Estate / Property,9205857310,GreenageGrihaNirmaanPvtLtd.32@gmail.com,GreenageGrihaNirmaanPvtLtd..com
33,Park Plaza Hotel,Bengaluru,Travel / Hotels / Restaurants / Airlines / Railways,we are Park Plaza Hotel,1,Best Company in field of Travel / Hotels / Restaurants / Airlines / Railways,4139678728,ParkPlazaHotel33@gmail.com,ParkPlazaHotel.com
34,Search Light,Bengaluru,Internet / Ecommerce,we are Search Light,2,Best Company in field of Internet / Ecommerce,2336769961,SearchLight34@gmail.com,SearchLight.com
35,CIGNEX Datamatics Technologies Ltd.,Bengaluru,IT-Software / Software Services,we are CIGNEX Datamatics Technologies Ltd.,4,Best Company in field of IT-Software / Software Services,7941318389,CIGNEXDatamaticsTechnologiesLtd.35@gmail.com,CIGNEXDatamaticsTechnologiesLtd..com
36,HumanKonnect,Bengaluru,Insurance,we are HumanKonnect,2,Best Company in field of Insurance,3783395759,HumanKonnect36@gmail.com,HumanKonnect.com
37,Myntra Designs Pvt. Ltd.,Bengaluru,Internet / Ecommerce,we are Myntra Designs Pvt. Ltd.,3,Best Company in field of Internet / Ecommerce,5460297184,MyntraDesignsPvt.Ltd.37@gmail.com,MyntraDesignsPvt.Ltd..com
38,Nitesh Estates Limited,Bengaluru,Real Estate / Property,we are Nitesh Estates Limited,2,Best Company in field of Real Estate / Property,9213123575,NiteshEstatesLimited38@gmail.com,NiteshEstatesLimited.com
39,EFS Facilities Services (india) Pvt. Ltd.,Bengaluru,Facility Management,we are EFS Facilities Services (india) Pvt. Ltd.,1,Best Company in field of Facility Management,3849422680,EFSFacilitiesServices(india)Pvt.Ltd.39@gmail.com,EFSFacilitiesServices(india)Pvt.Ltd..com
40,PlaySimple - Startup,Bengaluru,Internet / Ecommerce,we are PlaySimple - Startup,5,Best Company in field of Internet / Ecommerce,9227812032,PlaySimple-Startup40@gmail.com,PlaySimple-Startup.com
41,Job Finder,Bengaluru,BPO / Call Centre / ITES,we are Job Finder,5,Best Company in field of BPO / Call Centre / ITES,1612612634,JobFinder41@gmail.com,JobFinder.com
42,Accel Frontline Limited,Bengaluru,IT-Software / Software Services,we are Accel Frontline Limited,2,Best Company in field of IT-Software / Software Services,3295507191,AccelFrontlineLimited42@gmail.com,AccelFrontlineLimited.com
43,Manipal-City & Guilds (MCG),Bengaluru,Education / Teaching / Training,we are Manipal-City & Guilds (MCG),2,Best Company in field of Education / Teaching / Training,9234430949,Manipal-City&Guilds(MCG)43@gmail.com,Manipal-City&Guilds(MCG).com
44,Nasdaq Corporate Solutions (India) Pvt Ltd.,Bengaluru,IT-Software / Software Services,we are Nasdaq Corporate Solutions (India) Pvt Ltd.,1,Best Company in field of IT-Software / Software Services,1137586624,NasdaqCorporateSolutions(India)PvtLtd.44@gmail.com,NasdaqCorporateSolutions(India)PvtLtd..com
45,TRH Consultancy Services,"Bengaluru, Chennai",IT-Software / Software Services,we are TRH Consultancy Services,3,Best Company in field of IT-Software / Software Services,2087059768,TRHConsultancyServices45@gmail.com,TRHConsultancyServices.com
46,Thrillophilia Adventure Tours Pvt Ltd,"Bengaluru, Chennai, Hyderabad",Internet / Ecommerce,we are Thrillophilia Adventure Tours Pvt Ltd,1,Best Company in field of Internet / Ecommerce,8731586127,ThrillophiliaAdventureToursPvtLtd46@gmail.com,ThrillophiliaAdventureToursPvtLtd.com
47,Axtel Communication Private Limited,Bengaluru,IT-Software / Software Services,we are Axtel Communication Private Limited,5,Best Company in field of IT-Software / Software Services,1414453491,AxtelCommunicationPrivateLimited47@gmail.com,AxtelCommunicationPrivateLimited.com
48,Local Job Search,"Bengaluru, Mumbai, Pune, Chennai, Hyderabad, Gurgaon",Government / Defence,we are Local Job Search,1,Best Company in field of Government / Defence,9971951863,LocalJobSearch48@gmail.com,LocalJobSearch.com
49,Shoppyzip Online Pvt Ltd,Bengaluru,IT-Software / Software Services,we are Shoppyzip Online Pvt Ltd,1,Best Company in field of IT-Software / Software Services,9940184226,ShoppyzipOnlinePvtLtd49@gmail.com,ShoppyzipOnlinePvtLtd.com
50,KPMG,Bengaluru,Accounting / Finance,we are KPMG,4,Best Company in field of Accounting / Finance,7870106341,KPMG50@gmail.com,KPMG.com
51,State Bank Of India,"Bengaluru, Mumbai, Hyderabad",Banking / Financial Services / Broking,we are State Bank Of India,1,Best Company in field of Banking / Financial Services / Broking,9945330477,StateBankOfIndia51@gmail.com,StateBankOfIndia.com
52,confidential,Bengaluru,Recruitment / Staffing,we are confidential,2,Best Company in field of Recruitment / Staffing,7973329077,confidential52@gmail.com,confidential.com
53,Paramount Instruments Pvt. Ltd.,"Mumbai, Bengaluru, Delhi NCR",Textiles / Garments / Accessories,we are Paramount Instruments Pvt. Ltd.,2,Best Company in field of Textiles / Garments / Accessories,8872872161,ParamountInstrumentsPvt.Ltd.53@gmail.com,ParamountInstrumentsPvt.Ltd..com
54,Merrin and Associates,Bengaluru,IT-Software / Software Services,we are Merrin and Associates,5,Best Company in field of IT-Software / Software Services,5729862885,MerrinandAssociates54@gmail.com,MerrinandAssociates.com
55,Bob Technologies,Bengaluru,Recruitment / Staffing,we are Bob Technologies,4,Best Company in field of Recruitment / Staffing,1661325782,BobTechnologies55@gmail.com,BobTechnologies.com
56,ASAP Info Systems Pvt Ltd,"Hyderabad, Bengaluru",IT-Software / Software Services,we are ASAP Info Systems Pvt Ltd,4,Best Company in field of IT-Software / Software Services,7938077102,ASAPInfoSystemsPvtLtd56@gmail.com,ASAPInfoSystemsPvtLtd.com
57,Carmatec It Solutions Pvt Ltd,Bengaluru,IT-Software / Software Services,we are Carmatec It Solutions Pvt Ltd,1,Best Company in field of IT-Software / Software Services,1373400248,CarmatecItSolutionsPvtLtd57@gmail.com,CarmatecItSolutionsPvtLtd.com
58,Altisource Business Solutions Pvt Ltd,Bengaluru,IT-Software / Software Services,we are Altisource Business Solutions Pvt Ltd,1,Best Company in field of IT-Software / Software Services,4117663896,AltisourceBusinessSolutionsPvtLtd58@gmail.com,AltisourceBusinessSolutionsPvtLtd.com
59,Enlivening Technologies Pvt Ltd,Bengaluru,Semiconductors / Electronics,we are Enlivening Technologies Pvt Ltd,1,Best Company in field of Semiconductors / Electronics,5046663640,EnliveningTechnologiesPvtLtd59@gmail.com,EnliveningTechnologiesPvtLtd.com
60,dynproindia,"Pune, Bengaluru",IT-Software / Software Services,we are dynproindia,2,Best Company in field of IT-Software / Software Services,7287177527,dynproindia60@gmail.com,dynproindia.com
61,YOGAM BPO,"PUNE Mumbai, Chennai Kolkata, Bangalore Hyderabad",Medical / Healthcare / Hospitals,we are YOGAM BPO,1,Best Company in field of Medical / Healthcare / Hospitals,2512308064,YOGAMBPO61@gmail.com,YOGAMBPO.com
62,EnkayConsultants,Bengaluru,IT-Software / Software Services,we are EnkayConsultants,3,Best Company in field of IT-Software / Software Services,8817764919,EnkayConsultants62@gmail.com,EnkayConsultants.com
63,RoboWizards Education LLP,"Bengaluru, Mumbai, Mumbai Suburbs",Education / Teaching / Training,we are RoboWizards Education LLP,5,Best Company in field of Education / Teaching / Training,9221194697,RoboWizardsEducationLLP63@gmail.com,RoboWizardsEducationLLP.com
64,HMS Host Services India Pvt Ltd,Bengaluru,Travel / Hotels / Restaurants / Airlines / Railways,we are HMS Host Services India Pvt Ltd,1,Best Company in field of Travel / Hotels / Restaurants / Airlines / Railways,4006639467,HMSHostServicesIndiaPvtLtd64@gmail.com,HMSHostServicesIndiaPvtLtd.com
65,LAYFIELD BARRETT KPO SERVICES PRIVATE LIMITED,Bengaluru,Legal,we are LAYFIELD BARRETT KPO SERVICES PRIVATE LIMITED,4,Best Company in field of Legal,9313726148,LAYFIELDBARRETTKPOSERVICESPRIVATELIMITED65@gmail.com,LAYFIELDBARRETTKPOSERVICESPRIVATELIMITED.com
66,Quess Corp Ltd.,Bengaluru,BPO / Call Centre / ITES,we are Quess Corp Ltd.,3,Best Company in field of BPO / Call Centre / ITES,1606534448,QuessCorpLtd.66@gmail.com,QuessCorpLtd..com
67,IPsoft Global Services Private Limited,Bengaluru,IT-Software / Software Services,we are IPsoft Global Services Private Limited,2,Best Company in field of IT-Software / Software Services,8404472744,IPsoftGlobalServicesPrivateLimited67@gmail.com,IPsoftGlobalServicesPrivateLimited.com
68,Apollo Sugar Clinics Limited,"Chennai, Bengaluru",Medical / Healthcare / Hospitals,we are Apollo Sugar Clinics Limited,4,Best Company in field of Medical / Healthcare / Hospitals,1379331936,ApolloSugarClinicsLimited68@gmail.com,ApolloSugarClinicsLimited.com
69,ITBMS Inc,"Bengaluru, Pune",IT-Software / Software Services,we are ITBMS Inc,2,Best Company in field of IT-Software / Software Services,7475133863,ITBMSInc69@gmail.com,ITBMSInc.com
70,TalentPegs,"Mumbai, Bengaluru",NGO / Social Services / Regulators / Industry Associations,we are TalentPegs,3,Best Company in field of NGO / Social Services / Regulators / Industry Associations,1966030127,TalentPegs70@gmail.com,TalentPegs.com
71,Manzil Placement,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Delhi NCR",Banking / Financial Services / Broking,we are Manzil Placement,2,Best Company in field of Banking / Financial Services / Broking,5865143302,ManzilPlacement71@gmail.com,ManzilPlacement.com
72,InstaCar Technologies Pvt. Ltd.,"Bengaluru, Mumbai, Indore",IT-Software / Software Services,we are InstaCar Technologies Pvt. Ltd.,3,Best Company in field of IT-Software / Software Services,6565545918,InstaCarTechnologiesPvt.Ltd.72@gmail.com,InstaCarTechnologiesPvt.Ltd..com
73,Delight HR Services Pvt Ltd.,Bengaluru,Other,we are Delight HR Services Pvt Ltd.,2,Best Company in field of Other,4520998549,DelightHRServicesPvtLtd.73@gmail.com,DelightHRServicesPvtLtd..com
74,Azim Premji Foundation,Bengaluru,NGO / Social Services / Regulators / Industry Associations,we are Azim Premji Foundation,4,Best Company in field of NGO / Social Services / Regulators / Industry Associations,6241238255,AzimPremjiFoundation74@gmail.com,AzimPremjiFoundation.com
75,Step Ahead,Bengaluru,Architecture / Interior Design,we are Step Ahead,5,Best Company in field of Architecture / Interior Design,6106364462,StepAhead75@gmail.com,StepAhead.com
76,Human Capital and Tech Solutions,Bengaluru,IT-Software / Software Services,we are Human Capital and Tech Solutions,3,Best Company in field of IT-Software / Software Services,4875136878,HumanCapitalandTechSolutions76@gmail.com,HumanCapitalandTechSolutions.com
77,Puravankara Projects Limited,Bengaluru,Real Estate / Property,we are Puravankara Projects Limited,3,Best Company in field of Real Estate / Property,7998783627,PuravankaraProjectsLimited77@gmail.com,PuravankaraProjectsLimited.com
78,Viaweb Technologies Solutions LLP,Bengaluru,IT-Software / Software Services,we are Viaweb Technologies Solutions LLP,2,Best Company in field of IT-Software / Software Services,9939621430,ViawebTechnologiesSolutionsLLP78@gmail.com,ViawebTechnologiesSolutionsLLP.com
79,Confident Group,Bengaluru,Real Estate / Property,we are Confident Group,4,Best Company in field of Real Estate / Property,6208991716,ConfidentGroup79@gmail.com,ConfidentGroup.com
80,QuintilesIMS Research India Private Limited.,Bengaluru,Pharma / Biotech / Clinical Research,we are QuintilesIMS Research India Private Limited.,1,Best Company in field of Pharma / Biotech / Clinical Research,1148947132,QuintilesIMSResearchIndiaPrivateLimited.80@gmail.com,QuintilesIMSResearchIndiaPrivateLimited..com
81,Pinaki Softcon Pvt Ltd,"Bengaluru, Gurgaon",IT-Software / Software Services,we are Pinaki Softcon Pvt Ltd,3,Best Company in field of IT-Software / Software Services,9706148908,PinakiSoftconPvtLtd81@gmail.com,PinakiSoftconPvtLtd.com
82,Zivame.Com,Bengaluru,Internet / Ecommerce,we are Zivame.Com,4,Best Company in field of Internet / Ecommerce,6895781951,Zivame.Com82@gmail.com,Zivame.Com.com
83,GE IIPL - Training Division (GE HEalthcare),Bengaluru,Medical / Healthcare / Hospitals,we are GE IIPL - Training Division (GE HEalthcare),3,Best Company in field of Medical / Healthcare / Hospitals,7164140507,GEIIPL-TrainingDivision(GEHEalthcare)83@gmail.com,GEIIPL-TrainingDivision(GEHEalthcare).com
84,Span Outsourcing Pvt. Ltd.,Bengaluru,BPO / Call Centre / ITES,we are Span Outsourcing Pvt. Ltd.,1,Best Company in field of BPO / Call Centre / ITES,6586123541,SpanOutsourcingPvt.Ltd.84@gmail.com,SpanOutsourcingPvt.Ltd..com
85,Koenig Solutions Ltd,"Delhi, Bengaluru",Education / Teaching / Training,we are Koenig Solutions Ltd,3,Best Company in field of Education / Teaching / Training,3279278050,KoenigSolutionsLtd85@gmail.com,KoenigSolutionsLtd.com
86,Anlage Infotech (I) Pvt. Ltd.,Bengaluru,IT-Software / Software Services,we are Anlage Infotech (I) Pvt. Ltd.,4,Best Company in field of IT-Software / Software Services,6266634170,AnlageInfotech(I)Pvt.Ltd.86@gmail.com,AnlageInfotech(I)Pvt.Ltd..com
87,"HITECH PLACEMENTS, Bangalore",Bengaluru Bangalore,Construction / Engineering / Cement / Metals,"we are HITECH PLACEMENTS, Bangalore",4,Best Company in field of Construction / Engineering / Cement / Metals,7980837839,"HITECHPLACEMENTS,Bangalore87@gmail.com","HITECHPLACEMENTS,Bangalore.com"
88,Park Plaza Hotels & Resorts,Bengaluru,Travel / Hotels / Restaurants / Airlines / Railways,we are Park Plaza Hotels & Resorts,2,Best Company in field of Travel / Hotels / Restaurants / Airlines / Railways,8877023627,ParkPlazaHotels&Resorts88@gmail.com,ParkPlazaHotels&Resorts.com
89,Rooman Technologies Pvt. Ltd.,Bengaluru,Education / Teaching / Training,we are Rooman Technologies Pvt. Ltd.,2,Best Company in field of Education / Teaching / Training,6140200113,RoomanTechnologiesPvt.Ltd.89@gmail.com,RoomanTechnologiesPvt.Ltd..com
90,Gratitude India,"Mumbai, Bengaluru, Delhi NCR",BPO / Call Centre / ITES,we are Gratitude India,3,Best Company in field of BPO / Call Centre / ITES,3353810149,GratitudeIndia90@gmail.com,GratitudeIndia.com
91,TeamLease Services Limited,Bengaluru,Banking / Financial Services / Broking,we are TeamLease Services Limited,2,Best Company in field of Banking / Financial Services / Broking,6009912840,TeamLeaseServicesLimited91@gmail.com,TeamLeaseServicesLimited.com
92,Faxhion Technologies Private Limited,Bengaluru,IT-Software / Software Services,we are Faxhion Technologies Private Limited,4,Best Company in field of IT-Software / Software Services,2272429186,FaxhionTechnologiesPrivateLimited92@gmail.com,FaxhionTechnologiesPrivateLimited.com
93,Synophic Systems Inc,Bengaluru,Telecom/ISP,we are Synophic Systems Inc,5,Best Company in field of Telecom/ISP,1933799432,SynophicSystemsInc93@gmail.com,SynophicSystemsInc.com
94,Hcl Technologies Limited,Bengaluru,IT-Software / Software Services,we are Hcl Technologies Limited,5,Best Company in field of IT-Software / Software Services,3002841055,HclTechnologiesLimited94@gmail.com,HclTechnologiesLimited.com
95,Orcapod Consulting Services Private Limited,"Bengaluru, Pune, Delhi NCR, Chennai, Hyderabad, Kolkata, Bhubaneshwar, Chandigarh",Recruitment / Staffing,we are Orcapod Consulting Services Private Limited,2,Best Company in field of Recruitment / Staffing,4825825072,OrcapodConsultingServicesPrivateLimited95@gmail.com,OrcapodConsultingServicesPrivateLimited.com
96,Crystal Hiring Pvt. Ltd.,"Mumbai, Bengaluru",IT-Software / Software Services,we are Crystal Hiring Pvt. Ltd.,2,Best Company in field of IT-Software / Software Services,2388501862,CrystalHiringPvt.Ltd.96@gmail.com,CrystalHiringPvt.Ltd..com
97,United Capital Club,"Delhi, Hyderabad, Dehradun, Mumbai, Bengaluru, Jaipur",IT-Software / Software Services,we are United Capital Club,5,Best Company in field of IT-Software / Software Services,9483618841,UnitedCapitalClub97@gmail.com,UnitedCapitalClub.com
98,O&G SKILLS INDIA PVT LTD,Bengaluru,Office Equipment / Automation,we are O&G SKILLS INDIA PVT LTD,3,Best Company in field of Office Equipment / Automation,6216852384,O&GSKILLSINDIAPVTLTD98@gmail.com,O&GSKILLSINDIAPVTLTD.com
99,Kent Ro Systems,Bengaluru,Consumer Electronics / Appliances / Durables,we are Kent Ro Systems,4,Best Company in field of Consumer Electronics / Appliances / Durables,8989303375,KentRoSystems99@gmail.com,KentRoSystems.com
100,LAYFIELD & BARRETT KPO SERVICES PRIVATE LIMITED,"Chandigarh, Bengaluru",Legal,we are LAYFIELD & BARRETT KPO SERVICES PRIVATE LIMITED,3,Best Company in field of Legal,3530126625,LAYFIELD&BARRETTKPOSERVICESPRIVATELIMITED100@gmail.com,LAYFIELD&BARRETTKPOSERVICESPRIVATELIMITED.com
101,Emind Technologies - Jayanagar,Bengaluru,Education / Teaching / Training,we are Emind Technologies - Jayanagar,2,Best Company in field of Education / Teaching / Training,2024891297,EmindTechnologies-Jayanagar101@gmail.com,EmindTechnologies-Jayanagar.com
102,Adglobal360 India Private Limited,Bengaluru,Advertising / PR / MR / Event Management,we are Adglobal360 India Private Limited,5,Best Company in field of Advertising / PR / MR / Event Management,7442287404,Adglobal360IndiaPrivateLimited102@gmail.com,Adglobal360IndiaPrivateLimited.com
103,Pype Inc,Bengaluru,IT-Software / Software Services,we are Pype Inc,2,Best Company in field of IT-Software / Software Services,6216217411,PypeInc103@gmail.com,PypeInc.com
104,Target,Bengaluru,IT-Software / Software Services,we are Target,4,Best Company in field of IT-Software / Software Services,1545475856,Target104@gmail.com,Target.com
105,Wellspring Healthcare Pvt. Ltd.,"Bengaluru, Gurgaon",Medical / Healthcare / Hospitals,we are Wellspring Healthcare Pvt. Ltd.,3,Best Company in field of Medical / Healthcare / Hospitals,7725271744,WellspringHealthcarePvt.Ltd.105@gmail.com,WellspringHealthcarePvt.Ltd..com
106,Aspire ERP Systems,"Bengaluru, Mangalore, Panjim",Insurance,we are Aspire ERP Systems,3,Best Company in field of Insurance,6752738739,AspireERPSystems106@gmail.com,AspireERPSystems.com
107,HireCraft Software Pvt Ltd,Bengaluru,IT-Software / Software Services,we are HireCraft Software Pvt Ltd,4,Best Company in field of IT-Software / Software Services,4427768450,HireCraftSoftwarePvtLtd107@gmail.com,HireCraftSoftwarePvtLtd.com
108,SISKIN HEALTH & HOSPITALITY,Bengaluru,Medical / Healthcare / Hospitals,we are SISKIN HEALTH & HOSPITALITY,2,Best Company in field of Medical / Healthcare / Hospitals,8069127813,SISKINHEALTH&HOSPITALITY108@gmail.com,SISKINHEALTH&HOSPITALITY.com
109,Recruise,"Bengaluru Bangalore, Chennai",IT-Software / Software Services,we are Recruise,5,Best Company in field of IT-Software / Software Services,4673488203,Recruise109@gmail.com,Recruise.com
110,Sidjobs Consultancy Private Limited,"Mumbai, Delhi, Bengaluru",Insurance,we are Sidjobs Consultancy Private Limited,5,Best Company in field of Insurance,8355754550,SidjobsConsultancyPrivateLimited110@gmail.com,SidjobsConsultancyPrivateLimited.com
111,My Connecting,"Bengaluru, Delhi NCR",Education / Teaching / Training,we are My Connecting,2,Best Company in field of Education / Teaching / Training,6357265812,MyConnecting111@gmail.com,MyConnecting.com
112,Wissen Infotech Pvt. Ltd.,Bengaluru,IT-Software / Software Services,we are Wissen Infotech Pvt. Ltd.,2,Best Company in field of IT-Software / Software Services,3152898710,WissenInfotechPvt.Ltd.112@gmail.com,WissenInfotechPvt.Ltd..com
113,Sopra Steria India,Bengaluru,IT-Software / Software Services,we are Sopra Steria India,4,Best Company in field of IT-Software / Software Services,9864657649,SopraSteriaIndia113@gmail.com,SopraSteriaIndia.com
114,ANI Technologies Pvt Ltd (Olacabs),Bengaluru,Internet / Ecommerce,we are ANI Technologies Pvt Ltd (Olacabs),4,Best Company in field of Internet / Ecommerce,2016904492,ANITechnologiesPvtLtd(Olacabs)114@gmail.com,ANITechnologiesPvtLtd(Olacabs).com
115,Royal Orchid Hotels Ltd.,"Bengaluru, Bellary",Travel / Hotels / Restaurants / Airlines / Railways,we are Royal Orchid Hotels Ltd.,5,Best Company in field of Travel / Hotels / Restaurants / Airlines / Railways,2256286710,RoyalOrchidHotelsLtd.115@gmail.com,RoyalOrchidHotelsLtd..com
116,ICRI Research,"Bengaluru, Mumbai",Medical / Healthcare / Hospitals,we are ICRI Research,2,Best Company in field of Medical / Healthcare / Hospitals,1427405833,ICRIResearch116@gmail.com,ICRIResearch.com
117,Metabyte India Private Limited,Bengaluru,Recruitment / Staffing,we are Metabyte India Private Limited,2,Best Company in field of Recruitment / Staffing,2210777155,MetabyteIndiaPrivateLimited117@gmail.com,MetabyteIndiaPrivateLimited.com
